timestamp,hour,day_of_year,cloud_cover_percent,temperature_celsius,humidity_percent,wind_speed_kmh,rainfall_mmh,solar_output_mw,is_daytime
2024-06-01 00:00:00,0,153,26,30.19314793592743,91,10,0,0.0,0
2024-06-01 00:05:00,0,153,18,29.71282872404112,67,14,0,0.0,0
2024-06-01 00:10:00,0,153,13,32.05252757653764,78,11,0,0.0,0
2024-06-01 00:15:00,0,153,14,30.0570989138619,88,5,0,0.0,0
2024-06-01 00:20:00,0,153,90,26.062740597865023,93,27,47,0.0,0
2024-06-01 00:25:00,0,153,85,25.0,78,20,18,0.0,0
2024-06-01 00:30:00,0,153,87,34.381488669791125,73,16,47,0.0,0
2024-06-01 00:35:00,0,153,98,30.159973837829078,67,26,0,0.0,0
2024-06-01 00:40:00,0,153,83,28.413317899516667,73,25,28,0.0,0
2024-06-01 00:45:00,0,153,81,29.08657336805841,64,28,48,0.0,0
2024-06-01 00:50:00,0,153,78,29.00484769494893,78,15,0,0.0,0
2024-06-01 00:55:00,0,153,89,28.916327022106376,89,18,0,0.0,0
2024-06-01 01:00:00,1,153,92,29.24144161812868,84,21,48,0.0,0
2024-06-01 01:05:00,1,153,89,30.817258481218495,61,15,14,0.0,0
2024-06-01 01:10:00,1,153,100,33.06046698477997,72,25,28,0.0,0
2024-06-01 01:15:00,1,153,99,32.96065441621668,71,26,0,0.0,0
2024-06-01 01:20:00,1,153,100,31.56824560794461,74,21,36,0.0,0
2024-06-01 01:25:00,1,153,100,33.54805879942394,90,20,33,0.0,0
2024-06-01 01:30:00,1,153,100,32.642719834096745,93,23,45,0.0,0
2024-06-01 01:35:00,1,153,88,32.04233170151329,92,23,26,0.0,0
2024-06-01 01:40:00,1,153,25,31.097703838976404,77,9,0,0.0,0
2024-06-01 01:45:00,1,153,10,30.780100542723307,90,14,0,0.0,0
2024-06-01 01:50:00,1,153,15,30.37209255392735,77,7,0,0.0,0
2024-06-01 01:55:00,1,153,0,30.00193984076982,71,5,0,0.0,0
2024-06-01 02:00:00,2,153,0,31.985116103295553,80,12,0,0.0,0
2024-06-01 02:05:00,2,153,14,30.867614798516076,67,9,0,0.0,0
2024-06-01 02:10:00,2,153,23,32.94602763401761,66,12,0,0.0,0
2024-06-01 02:15:00,2,153,24,33.247581000864336,61,7,0,0.0,0
2024-06-01 02:20:00,2,153,26,32.29376699150681,71,14,0,0.0,0
2024-06-01 02:25:00,2,153,28,29.275165216165732,64,8,0,0.0,0
2024-06-01 02:30:00,2,153,21,32.14751014794198,63,8,0,0.0,0
2024-06-01 02:35:00,2,153,17,31.61415067994919,84,12,0,0.0,0
2024-06-01 02:40:00,2,153,7,32.64165511260587,84,12,0,0.0,0
2024-06-01 02:45:00,2,153,12,31.168830857255497,71,10,0,0.0,0
2024-06-01 02:50:00,2,153,2,32.18038251812392,65,11,0,0.0,0
2024-06-01 02:55:00,2,153,0,31.387957605857668,65,13,0,0.0,0
2024-06-01 03:00:00,3,153,8,34.36307253581299,67,13,0,0.0,0
2024-06-01 03:05:00,3,153,1,35.88674266260393,93,8,0,0.0,0
2024-06-01 03:10:00,3,153,24,33.86692353853883,67,13,0,0.0,0
2024-06-01 03:15:00,3,153,24,33.96203335418245,92,10,0,0.0,0
2024-06-01 03:20:00,3,153,24,35.184451704676725,76,8,0,0.0,0
2024-06-01 03:25:00,3,153,18,31.99561508123749,60,10,0,0.0,0
2024-06-01 03:30:00,3,153,4,33.94234166314179,83,6,0,0.0,0
2024-06-01 03:35:00,3,153,1,33.42162882080688,77,9,0,0.0,0
2024-06-01 03:40:00,3,153,0,31.04235902422402,72,6,0,0.0,0
2024-06-01 03:45:00,3,153,0,34.7082779301899,79,11,0,0.0,0
2024-06-01 03:50:00,3,153,0,34.831250516510565,62,13,0,0.0,0
2024-06-01 03:55:00,3,153,0,33.595644256730644,92,8,0,0.0,0
2024-06-01 04:00:00,4,153,3,38.0,76,12,0,0.0,0
2024-06-01 04:05:00,4,153,8,34.13597121478809,83,14,0,0.0,0
2024-06-01 04:10:00,4,153,10,37.031009543901234,71,14,0,0.0,0
2024-06-01 04:15:00,4,153,4,32.25078812190472,67,6,0,0.0,0
2024-06-01 04:20:00,4,153,0,32.935400724970535,86,11,0,0.0,0
2024-06-01 04:25:00,4,153,0,38.0,77,5,0,0.0,0
2024-06-01 04:30:00,4,153,0,34.200345853675216,62,8,0,0.0,0
2024-06-01 04:35:00,4,153,13,35.16748829232508,86,9,0,0.0,0
2024-06-01 04:40:00,4,153,12,32.1742827094242,60,13,0,0.0,0
2024-06-01 04:45:00,4,153,20,37.2483316168205,65,5,0,0.0,0
2024-06-01 04:50:00,4,153,22,32.14731661468382,85,13,0,0.0,0
2024-06-01 04:55:00,4,153,34,38.0,68,14,0,0.0,0
2024-06-01 05:00:00,5,153,20,34.468321414165494,94,12,0,0.0,0
2024-06-01 05:05:00,5,153,24,37.871473252656735,75,6,0,0.0,0
2024-06-01 05:10:00,5,153,89,36.12578621118685,68,20,29,0.0,0
2024-06-01 05:15:00,5,153,90,35.46749321525251,76,29,7,0.0,0
2024-06-01 05:20:00,5,153,97,38.0,83,18,0,0.0,0
2024-06-01 05:25:00,5,153,8,38.0,80,5,0,0.0,0
2024-06-01 05:30:00,5,153,13,35.567424603534725,64,6,0,0.0,0
2024-06-01 05:35:00,5,153,14,38.0,73,10,0,0.0,0
2024-06-01 05:40:00,5,153,1,32.03793657508835,93,11,0,0.0,0
2024-06-01 05:45:00,5,153,87,35.26105927846107,87,23,20,0.0,0
2024-06-01 05:50:00,5,153,84,38.0,85,25,49,0.0,0
2024-06-01 05:55:00,5,153,80,33.75317566208977,91,20,0,0.0,0
2024-06-01 06:00:00,6,153,78,35.64186494197245,71,21,0,0.0,1
2024-06-01 06:05:00,6,153,82,36.89834666957447,75,19,43,0.0,1
2024-06-01 06:10:00,6,153,93,32.34881881602923,84,21,11,0.0,1
2024-06-01 06:15:00,6,153,97,32.805161884261544,71,18,5,0.0,1
2024-06-01 06:20:00,6,153,24,36.71593088903696,87,6,0,0.0,1
2024-06-01 06:25:00,6,153,10,36.92143639584978,82,8,0,0.0,1
2024-06-01 06:30:00,6,153,0,38.0,62,8,0,0.0,1
2024-06-01 06:35:00,6,153,0,38.0,75,9,0,0.0,1
2024-06-01 06:40:00,6,153,0,38.0,62,12,0,0.0,1
2024-06-01 06:45:00,6,153,0,38.0,79,6,0,0.0,1
